ID,Set,ProductId,Visited,Highlighting,AOI,TFF,FPG,SPG,RFX,SFX,ODT
1,11,1,1,1,AoI 1,0,0,0,0,0,0
1,11,1,1,1,AoI 2,0,0,0,0,0,0
1,11,1,1,1,AoI 1,0,0,0,0,0,0
1,11,1,1,1,AoI 2,0,0,0,0,0,0
1,11,1,1,1,AoI 1,0,0,0,0,0,0
1,11,1,1,1,AoI 2,0,0,0,0,0,0
1,11,2,1,1,AoI 1,0,0,0,0,0,0
1,11,2,1,1,AoI 1,0,0,0,0,0,0
1,11,2,1,1,AoI 2,0,0,0,0,0,0
1,11,2,1,1,AoI 1,0,0,0,0,0,0
1,11,2,1,1,AoI 2,0,0,0,0,0,0
1,11,2,1,1,AoI 1,0,0,0,0,0,0
1,11,2,1,1,AoI 2,0,0,0,0,0,0
1,11,2,1,1,AoI 1,0,0,0,0,0,0
1,11,2,1,1,AoI 2,0,0,0,0,0,0
1,11,2,1,1,AoI 1,0,0,0,0,0,0
1,11,2,1,1,AoI 2,0,0,0,0,0,0
1,11,2,1,1,AoI 1,0,0,0,0,0,0
1,11,2,1,1,AoI 2,0,0,0,0,0,0
1,11,2,1,1,AoI 1,0,0,0,0,0,0
1,11,2,1,1,AoI 2,0,0,0,0,0,0
1,11,3,1,1,AoI 1,0,0,0,0,0,0
1,11,3,1,1,AoI 1,0,0,0,0,0,0
1,11,3,1,1,AoI 2,0,0,0,0,0,0
1,11,3,1,1,AoI 1,0,0,0,0,0,0
1,11,3,1,1,AoI 2,0,0,0,0,0,0
1,11,3,1,1,AoI 1,0,0,0,0,0,0
1,11,3,1,1,AoI 2,0,0,0,0,0,0
1,11,3,1,1,AoI 1,0,0,0,0,0,0
1,11,3,1,1,AoI 2,0,0,0,0,0,0
1,11,3,1,1,AoI 1,0,0,0,0,0,0
1,11,3,1,1,AoI 2,0,0,0,0,0,0
1,11,3,1,1,AoI 1,0,0,0,0,0,0
1,11,3,1,1,AoI 2,0,0,0,0,0,0
1,11,3,1,1,AoI 1,0,0,0,0,0,0
1,11,3,1,1,AoI 2,0,0,0,0,0,0
1,11,3,1,1,AoI 1,0,0,0,0,0,0
1,11,2,1,1,AoI 1,0,0,0,0,0,0
1,11,2,1,1,AoI 1,0,0,0,0,0,0
1,11,2,1,1,AoI 2,0,0,0,0,0,0
1,11,2,1,1,AoI 1,0,0,0,0,0,0
1,11,2,1,1,AoI 2,0,0,0,0,0,0
1,11,2,1,1,AoI 1,0,0,0,0,0,0
1,11,2,1,1,AoI 2,0,0,0,0,0,0
1,11,2,1,1,AoI 1,0,0,0,0,0,0
1,11,2,1,1,AoI 2,0,0,0,0,0,0
1,11,2,1,1,AoI 1,0,0,0,0,0,0
1,11,2,1,1,AoI 2,0,0,0,0,0,0
1,11,2,1,1,AoI 1,0,0,0,0,0,0
1,11,2,1,1,AoI 2,0,0,0,0,0,0
1,11,2,1,1,AoI 1,0,0,0,0,0,0
1,11,2,1,1,AoI 2,0,0,0,0,0,0
1,11,2,1,1,AoI 1,0,0,0,0,0,0
1,11,2,1,1,AoI 1,0,0,0,0,0,0
1,11,2,1,1,AoI 2,0,0,0,0,0,0
1,6,2,1,0,AoI 1,0,0,0,0,0,0
1,6,2,1,0,AoI 1,0,0,0,0,0,0
